names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,Avg,Average_crimes,District
"Kauko al., 2 rooms flat for rent",677.0,16.9,40.0,2,,Log house,Fully equipped,Central thermostat,nan,23,20.3, Žaliakalnis
"Taikos pr., 2 rooms flat for rent",550.0,15.3,36.0,2,2024.0,Block house,Fully equipped,Central,12.60,23,8.7, Dainava
"Antanavos g., 2 rooms flat for rent",550.0,10.6,52.0,2,1970.0,Brick,Fully equipped,Central,63.96,23,2.5, Aleksotas
"Pramonės pr., 1 room flat for rent",350.0,11.7,30.0,1,1970.0,Block house,Fully equipped,Central,24.00,23,10.1, Dainava
"Draugystės g., Room rent",265.0,13.3,20.0,1,1960.0,Monolithic,Fully equipped,Central,6.80,23,1.0, Petrašiūnai
"Minijos g., 3 rooms flat for rent",690.0,12.5,55.0,3,2022.0,Brick,Fully equipped,"Aerothermal, gas",nan,23,0.2, Vytėnai
"Partizanų g., 2 rooms flat for rent",599.0,15.0,40.0,2,2024.0,Brick,Fully equipped,Central thermostat,18.80,23,10.5, Dainava
"Linų g., 2 rooms flat for rent",350.0,10.0,35.0,2,1950.0,Log house,Fully equipped,Gas,nan,23,8.1, Žemieji Šančiai
"J. Basanavičiaus al., 1 room flat for rent",500.0,15.6,32.0,1,,Brick,Fully equipped,Central thermostat,nan,23,4.4, Žaliakalnis
"K. Baršausko g., 1 room flat for rent",260.0,21.7,12.0,1,1989.0,Brick,Fully equipped,Central,22.20,23,14.4, Aukštieji Šančiai
"Pramonės pr., 1 room flat for rent",350.0,19.4,18.0,1,1976.0,Brick,Fully equipped,Central,21.06,23,21.7, Dainava
"Biržiškų g., 3 rooms flat for rent",750.0,11.9,63.0,3,2013.0,Brick,Fully equipped,Central thermostat,37.80,23,10.3, Aukštieji Šančiai
"A. Mickevičiaus g., 2 rooms flat for rent",700.0,11.3,61.75,2,1978.0,Brick,Fully equipped,Central,66.69,23,34.9, Centras
